,University,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
127,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Albert Memorial,51.502426,-0.177699,Monument / Landmark
128,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Queen's Arms,51.49917742666465,-0.1807078201403702,Pub
129,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Garden Café,51.49721609807621,-0.17238729631402094,Café
130,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,The Gore,51.500171573846515,-0.17990165929034194,Hotel
131,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Earth Hall,51.49626815014915,-0.17640920807154006,Planetarium
132,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Mammals Gallery,51.496799433240156,-0.17740909327411586,Exhibit
133,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Moët & Chandon Champagne Bar,51.50106145280145,-0.17742504943696039,Champagne Bar
134,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Bar 190,51.50022652223379,-0.1799854555537783,Bar
135,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Darwin Centre,51.496297057887894,-0.17769219434431105,Science Museum
136,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,La Cave à Fromage,51.49446030593533,-0.17459990966582548,Cheese Shop
137,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Natural History Museum Member's Room,51.496013220735016,-0.17642498016357422,Café
138,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Hyde Park Pavillion and Grounds,51.502456194932236,-0.1743368118636685,Garden
139,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Tombo,51.494996658149226,-0.17391484062547222,Japanese Restaurant
140,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Wildlife Garden,51.49585291385202,-0.17837762832641602,Garden
141,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Ciné lumière,51.49455119213542,-0.17726276620341655,Indie Movie Theater
142,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Five Guys,51.4945076576603,-0.1743616349702961,Burger Joint
143,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Ennismore Gardens,51.50005256506577,-0.1704683869646783,Garden
144,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Venchi,51.49500308660125,-0.17349849456907238,Ice Cream Shop
145,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Queen's Gate Gardens,51.49543786721117,-0.1800203822855324,Garden
146,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Daquise,51.49471403458199,-0.17349400987704336,Polish Restaurant
147,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Jeff de Bruges,51.49453156051652,-0.1738663093319382,Chocolate Shop
148,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,V&A Members Room,51.496733,-0.173077,Café
149,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Honest Burgers,51.49456375669099,-0.17359889046222837,Burger Joint
150,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Orsini,51.49637869811729,-0.17017061958424645,Italian Restaurant
151,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Kensington Crêperie,51.49487936099204,-0.1734194768718683,Creperie
152,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Brompton Food Market,51.494696126478686,-0.1740617729894765,Sandwich Place
153,IMPERIAL COLLEGE LONDON,51.49887085,-0.17560795583940397,Hintze Hall,51.49629985252707,-0.1764268110466618,Exhibit
154,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Burr & Co,51.52287157429973,-0.1254875385699253,Café
155,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Lever & Bloom Coffee,51.523333758515356,-0.13107564189231216,Coffee Shop
156,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Russell Square,51.52177463018556,-0.1260657566622182,Plaza
157,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Fitz's,51.52243036883981,-0.12524308628612824,Cocktail Bar
158,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Gordon Square,51.52409829559966,-0.13076305389404294,Park
159,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Franco Manca,51.523158107983384,-0.12470824158622142,Pizza Place
160,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Bloomsbury Farmers' Market,51.522918280280805,-0.13082084419401624,Farmers Market
161,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,The George Birkbeck Bar,51.522376626220336,-0.13056289058352094,Bar
